"","participant.code","cityname","role","group.S_transfer","group.S_self_part","group.S_prediction","group.R_prediction","group.R_min_offer","round","group.pie_size","group.unit_value_for_S","group.unit_value_for_R","treat","treatmp","player.age","player.gender","player.riskat","player.income"
"2","0orwdijp","S",1,48,52,40,0,50,6,100,1,1,"Sender_SamMos","SamMos",20,0,2,5
"3","0orwdijp","S",1,30,30,30,0,30,3,60,1,1,"Sender_SamMos","SamMos",20,0,2,5
"4","0orwdijp","S",1,65,35,60,28,80,4,100,3,1,"Sender_SamMos","SamMos",20,0,2,5
"5","0orwdijp","S",1,0,0,5,10,17,1,100,1,3,"Sender_SamMos","SamMos",20,0,2,5
"6","0orwdijp","S",1,17,43,20,0,45,2,60,3,1,"Sender_SamMos","SamMos",20,0,2,5
"7","0orwdijp","S",1,9,51,7,0,15,5,60,1,3,"Sender_SamMos","SamMos",20,0,2,5
"8","0r164aam","S",1,75,25,50,60,50,4,100,3,1,"Sender_SamSam","SamSam",21,1,3,4
"9","0r164aam","S",1,45,15,30,25,30,1,60,3,1,"Sender_SamSam","SamSam",21,1,3,4
"10","0r164aam","S",1,25,75,20,30,15,5,100,1,3,"Sender_SamSam","SamSam",21,1,3,4
"11","0r164aam","S",1,30,30,20,20,20,3,60,1,1,"Sender_SamSam","SamSam",21,1,3,4
"12","0r164aam","S",1,15,45,30,15,10,6,60,1,3,"Sender_SamSam","SamSam",21,1,3,4
"13","0r164aam","S",1,50,50,50,50,35,2,100,1,1,"Sender_SamSam","SamSam",21,1,3,4
"14","0ssjdtcl","M",2,50,50,50,40,10,3,100,1,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"15","0ssjdtcl","M",2,70,30,70,33,8,4,100,3,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"16","0ssjdtcl","M",2,20,40,40,10,8,1,60,3,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"17","0ssjdtcl","M",2,30,30,30,30,10,6,60,1,1,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"18","0ssjdtcl","M",2,30,70,30,20,10,2,100,1,3,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"19","0ssjdtcl","M",2,20,40,20,20,8,5,60,1,3,"Receiver_TomMos","TomMos",NA,NA,NA,NA
"24","1huz5lgl","T",1,45,55,50,50,50,1,100,1,3,"Sender_TomTom","TomTom",NA,NA,NA,NA
"25","1huz5lgl","T",1,25,35,30,30,36,2,60,1,3,"Sender_TomTom","TomTom",NA,NA,NA,NA
"26","1huz5lgl","T",1,30,30,35,40,30,3,60,3,1,"Sender_TomTom","TomTom",NA,NA,NA,NA
"27","1huz5lgl","T",1,55,45,50,50,40,4,100,3,1,"Sender_TomTom","TomTom",NA,NA,NA,NA
"28","1huz5lgl","T",1,35,25,40,30,30,5,60,1,1,"Sender_TomTom","TomTom",NA,NA,NA,NA
"29","1huz5lgl","T",1,45,55,60,50,50,6,100,1,1,"Sender_TomTom","TomTom",NA,NA,NA,NA
"30","1iagmll6","S",1,40,20,20,10,15,2,60,3,1,"Sender_SamMos","SamMos",21,1,4,3
"31","1iagmll6","S",1,20,40,18,35,45,5,60,1,3,"Sender_SamMos","SamMos",21,1,4,3
"32","1iagmll6","S",1,70,30,80,20,25,4,100,3,1,"Sender_SamMos","SamMos",21,1,4,3
"33","1iagmll6","S",1,60,40,55,40,50,6,100,1,1,"Sender_SamMos","SamMos",21,1,4,3
"34","1iagmll6","S",1,30,30,30,20,30,3,60,1,1,"Sender_SamMos","SamMos",21,1,4,3
"35","1iagmll6","S",1,0,0,40,60,70,1,100,1,3,"Sender_SamMos","SamMos",21,1,4,3
"38","28wmdry5","T",1,60,40,50,60,40,4,100,3,1,"Sender_TomMos","TomMos",23,1,1,4
"39","28wmdry5","T",1,50,50,50,40,30,3,100,1,1,"Sender_TomMos","TomMos",23,1,1,4
"40","28wmdry5","T",1,30,30,30,20,15,6,60,1,1,"Sender_TomMos","TomMos",23,1,1,4
"41","28wmdry5","T",1,30,30,30,20,20,1,60,3,1,"Sender_TomMos","TomMos",23,1,1,4
"42","28wmdry5","T",1,20,40,25,25,15,5,60,1,3,"Sender_TomMos","TomMos",23,1,1,4
"43","28wmdry5","T",1,50,50,50,20,20,2,100,1,3,"Sender_TomMos","TomMos",23,1,1,4
"44","2decaz3m","T",1,50,50,50,50,40,3,100,1,1,"Sender_TomSam","TomSam",20,0,2,5
